Date,Maximum Temperature,Minimum Temperature,Average Temperature,Precipitation,Snowfall,Snow Depth
05-03-2018,85,55,70,0,0,0
05-04-2018,80,60,70,0.07,0,0
05-05-2018,81,38,59.5,0.19,0,0
05-06-2018,74,43,58.5,0,0,0
05-07-2018,66,47,56.5,0.03,0,0
05-08-2018,63,34,48.5,0,0,0
05-09-2018,75,39,57,0,0,0
05-10-2018,79,57,68,0,0,0
05-11-2018,75,42,58.5,0.45,0,0
05-12-2018,54,44,49,0,0,0
5/13/2018,50,39,44.5,0.27,0,0
5/14/2018,55,41,48,0.01,0,0
5/15/2018,77,52,64.5,0.01,0,0
5/16/2018,74,45,59.5,0.45,0,0
5/17/2018,68,48,58,0,0,0
5/18/2018,78,48,63,0,0,0
5/19/2018,72,48,60,0.14,0,0
5/20/2018,64,48,56,0.23,0,0
5/21/2018,65,45,55,0.04,0,0
5/22/2018,73,49,61,0.03,0,0
5/23/2018,67,55,61,1.59,0,0
5/24/2018,76,43,59.5,0,0,0
5/25/2018,79,49,64,0,0,0
5/26/2018,84,51,67.5,0,0,0
5/27/2018,84,55,69.5,0.03,0,0
5/28/2018,69,61,65,0.27,0,0
5/29/2018,83,61,72,0.05,0,0
5/30/2018,84,55,69.5,0,0,0
5/31/2018,85,64,74.5,0,0,0
06-01-2018,78,66,72,0,0,0
06-02-2018,86,58,72,0.16,0,0
06-03-2018,64,50,57,0,0,0
06-04-2018,69,53,61,0.02,0,0
06-05-2018,70,48,59,0.02,0,0
06-06-2018,60,49,54.5,0.11,0,0
06-07-2018,60,45,52.5,0.07,0,0
06-08-2018,74,48,61,0,0,0
06-09-2018,76,43,59.5,0,0,0
06-10-2018,74,49,61.5,0,0,0
06-11-2018,71,49,60,0,0,0
06-12-2018,76,50,63,0,0,0
6/13/2018,76,58,67,0.25,0,0
6/14/2018,81,59,70,0.1,0,0
6/15/2018,75,50,62.5,0,0,0
6/16/2018,75,43,59,0,0,0
6/17/2018,82,49,65.5,0,0,0
6/18/2018,88,57,72.5,0,0,0
6/19/2018,92,62,77,0.1,0,0
6/20/2018,71,52,61.5,0,0,0
6/21/2018,73,45,59,0,0,0
6/22/2018,73,41,57,0,0,0
6/23/2018,75,50,62.5,0.04,0,0
6/24/2018,73,60,66.5,0.01,0,0
6/25/2018,73,57,65,0.74,0,0
6/26/2018,69,40,54.5,0,0,0
6/27/2018,78,47,62.5,0,0,0
6/28/2018,67,60,63.5,0.45,0,0
6/29/2018,77,58,67.5,0.02,0,0
6/30/2018,84,57,70.5,0,0,0
07-01-2018,92,61,76.5,0,0,0
07-02-2018,93,69,81,0,0,0
07-03-2018,94,68,81,0.31,0,0
07-04-2018,87,57,72,0,0,0
07-05-2018,90,63,76.5,0.03,0,0
07-06-2018,88,69,78.5,0.12,0,0
07-07-2018,73,45,59,0,0,0
07-08-2018,77,49,63,0,0,0
07-09-2018,82,54,68,0,0,0
07-10-2018,87,55,71,0,0,0
07-11-2018,85,53,69,0,0,0
07-12-2018,76,45,60.5,0,0,0
7/13/2018,81,51,66,0,0,0
7/14/2018,85,54,69.5,0,0,0
7/15/2018,89,66,77.5,0,0,0
7/16/2018,88,63,75.5,0,0,0
7/17/2018,92,67,79.5,0.95,0,0
7/18/2018,81,53,67,0.01,0,0
7/19/2018,73,44,58.5,0,0,0
7/20/2018,79,48,63.5,0,0,0
7/21/2018,83,60,71.5,0,0,0
7/22/2018,76,60,68,0.23,0,0
7/23/2018,80,65,72.5,0.17,0,0
7/24/2018,78,70,74,0.46,0,0
7/25/2018,76,69,72.5,0.76,0,0
7/26/2018,74,64,69,0.88,0,0
7/27/2018,84,64,74,0.01,0,0
7/28/2018,79,62,70.5,0,0,0
7/29/2018,79,57,68,0,0,0
7/30/2018,77,55,66,0,0,0
7/31/2018,76,57,66.5,0.02,0,0
08-01-2018,79,62,70.5,0,0,0
08-02-2018,80,66,73,0.01,0,0
08-03-2018,79,67,73,0.1,0,0
08-04-2018,75,62,68.5,0.03,0,0
08-05-2018,85,59,72,0.01,0,0
08-06-2018,87,61,74,0,0,0
08-07-2018,89,65,77,0,0,0
08-08-2018,83,66,74.5,0.05,0,0
08-09-2018,82,64,73,1.78,0,0
08-10-2018,80,59,69.5,0,0,0
08-11-2018,78,61,69.5,0,0,0
08-12-2018,76,63,69.5,0.27,0,0
8/13/2018,79,64,71.5,0.02,0,0
8/14/2018,71,64,67.5,0.84,0,0
8/15/2018,69,59,64,0.35,0,0
8/16/2018,85,61,73,0,0,0
8/17/2018,87,62,74.5,0.26,0,0
8/18/2018,84,66,75,0.42,0,0
8/19/2018,71,62,66.5,0.19,0,0
8/20/2018,76,58,67,0,0,0
8/21/2018,76,59,67.5,0,0,0
8/22/2018,72,66,69,0.14,0,0
8/23/2018,74,49,61.5,0.35,0,0
8/24/2018,74,50,62,0,0,0
8/25/2018,80,53,66.5,0,0,0
8/26/2018,76,61,68.5,0.02,0,0
8/27/2018,82,61,71.5,0,0,0
8/28/2018,85,61,73,0,0,0
8/29/2018,90,70,80,0,0,0
8/30/2018,90,65,77.5,0.13,0,0
8/31/2018,74,55,64.5,0,0,0
09-01-2018,72,56,64,0.03,0,0
09-02-2018,75,66,70.5,0,0,0
09-03-2018,86,70,78,0,0,0
09-04-2018,89,67,78,0,0,0
09-05-2018,86,64,75,0,0,0
09-06-2018,91,66,78.5,0,0,0
09-07-2018,80,62,71,0,0,0
09-08-2018,74,54,64,0,0,0
09-09-2018,63,48,55.5,0,0,0
09-10-2018,58,46,52,0.35,0,0
09-11-2018,59,46,52.5,1.61,0,0
09-12-2018,71,59,65,0,0,0
9/13/2018,74,61,67.5,0,0,0
9/14/2018,81,64,72.5,0.05,0,0
9/15/2018,80,65,72.5,0,0,0
9/16/2018,83,60,71.5,0,0,0
9/17/2018,84,60,72,0,0,0
9/18/2018,75,63,69,1.47,0,0
9/19/2018,80,59,69.5,0,0,0
9/20/2018,70,47,58.5,0,0,0
9/21/2018,73,46,59.5,0,0,0
9/22/2018,75,56,65.5,0.2,0,0
9/23/2018,60,41,50.5,0,0,0
9/24/2018,66,40,53,0,0,0
9/25/2018,67,41,54,0.83,0,0
9/26/2018,68,52,60,0.06,0,0
9/27/2018,73,45,59,0.48,0,0
9/28/2018,61,46,53.5,0.28,0,0
9/29/2018,68,51,59.5,0,0,0
9/30/2018,63,39,51,0,0,0
10-01-2018,55,43,49,0.01,0,0
10-02-2018,60,54,57,0.02,0,0
10-03-2018,68,53,60.5,0.81,0,0
10-04-2018,62,53,57.5,0.01,0,0
10-05-2018,67,42,54.5,0.71,0,0
10-06-2018,63,41,52,0,0,0
10-07-2018,71,59,65,0.38,0,0
10-08-2018,68,54,61,0.01,0,0
10-09-2018,77,55,66,0,0,0
10-10-2018,80,62,71,0,0,0
10-11-2018,78,61,69.5,0.23,0,0
10-12-2018,73,45,59,0.5,0,0
10/13/2018,50,41,45.5,0.13,0,0
10/14/2018,49,37,43,0.06,0,0
10/15/2018,57,38,47.5,0.02,0,0
10/16/2018,60,31,45.5,0.12,0,0
10/17/2018,51,31,41,0,0,0
10/18/2018,49,32,40.5,0.13,0,0
10/19/2018,43,29,36,0,0,0
10/20/2018,61,31,46,0,0,0
10/21/2018,54,33,43.5,0.44,0,0
10/22/2018,38,33,35.5,0,0,0
10/23/2018,46,35,40.5,0,0,0
10/24/2018,54,37,45.5,0.17,0,0
10/25/2018,38,34,36,0.1,0,0
10/26/2018,40,30,35,0,0,0
10/27/2018,46,35,40.5,0.18,0,0
10/28/2018,39,37,38,0.92,0,0
10/29/2018,44,38,41,0.24,0,0
10/30/2018,44,33,38.5,0.14,0,0
10/31/2018,50,29,39.5,0.02,0,0
11-01-2018,62,43,52.5,0.11,0,0
11-02-2018,60,44,52,0.32,0,0
11-03-2018,62,39,50.5,0.17,0,0
11-04-2018,43,29,36,0.14,0,0
11-05-2018,49,29,39,0.01,0,0
11-06-2018,48,43,45.5,0.05,0,0
11-07-2018,59,44,51.5,0.13,0,0
11-08-2018,57,35,46,0,0,0
11-09-2018,45,29,37,0,0,0
11-10-2018,42,31,36.5,0.42,0,0
11-11-2018,33,26,29.5,0.03,0.1,0
11-12-2018,38,28,33,0,0,0
11/13/2018,45,27,36,0.27,0.7,1
11/14/2018,37,25,31,0.02,0,0
11/15/2018,27,18,22.5,0.04,0.5,1
11/16/2018,29,21,25,0.98,8.6,9
11/17/2018,36,26,31,0.04,0,8
11/18/2018,37,28,32.5,0,0,5
11/19/2018,33,28,30.5,0.12,1.9,6
11/20/2018,37,31,34,0.16,2.1,7
11/21/2018,36,28,32,0.03,0,5
11/22/2018,33,11,22,0.02,0.2,5
11/23/2018,16,-5,5.5,0,0,5
11/24/2018,28,-3,12.5,0,0,4
11/25/2018,41,25,33,0.2,0,2
11/26/2018,43,30,36.5,0,0,0
11/27/2018,43,32,37.5,0.62,0,0
11/28/2018,34,28,31,0.2,3.9,4
11/29/2018,33,28,30.5,0.05,0.8,4
11/30/2018,34,29,31.5,0,0,2
12-01-2018,34,30,32,0.01,0,1
12-02-2018,40,31,35.5,0.21,0,0
12-03-2018,49,40,44.5,0.08,0,0
12-04-2018,43,26,34.5,0.12,0.8,1
12-05-2018,26,10,18,0,0,1
12-06-2018,29,11,20,0,0.1,1
12-07-2018,35,24,29.5,0.01,0.1,1
12-08-2018,24,15,19.5,0.03,0.6,2
12-09-2018,29,10,19.5,0,0,1
12-10-2018,33,8,20.5,0,0,1
12-11-2018,30,26,28,0,0,1
12-12-2018,30,26,28,0.02,0.6,2
12/13/2018,32,25,28.5,0,0.2,2
12/14/2018,38,29,33.5,0,0,0
12/15/2018,47,38,42.5,0,0,0
12/16/2018,40,31,35.5,0,0,0
12/17/2018,37,30,33.5,0.11,0,0
12/18/2018,37,23,30,0,0,0
12/19/2018,23,13,18,0,0,0
12/20/2018,39,13,26,0,0,0
12/21/2018,55,31,43,0.39,0,0
12/22/2018,61,29,45,0.95,2,2
12/23/2018,31,28,29.5,0,0,1
12/24/2018,33,27,30,0.1,1,2
12/25/2018,35,27,31,0.02,0.3,2
12/26/2018,30,24,27,0.01,0,2
12/27/2018,33,23,28,0,0,1
12/28/2018,40,21,30.5,0.07,0,0
12/29/2018,50,37,43.5,0.04,0,0
12/30/2018,37,24,30.5,0.02,0.7,1
12/31/2018,35,25,30,0,0,0
