Date,Maximum Temperature,Minimum Temperature,Average Temperature,Precipitation,Snowfall,Snow Depth
01-01-2018,5,0,2.5,0.04,1,3
01-02-2018,13,1,7,0.03,0.6,4
01-03-2018,19,-2,8.5,0,0,4
01-04-2018,22,1,11.5,0,0,3
01-05-2018,18,-2,8,0.09,1.2,4
01-06-2018,2,-3,-0.5,0,0,4
01-07-2018,2,-3,-0.5,0,0,4
01-08-2018,24,-3,10.5,0,0,4
01-09-2018,37,23,30,0,0,4
01-10-2018,33,15,24,0,0,4
01-11-2018,41,18,29.5,0,0,3
01-12-2018,57,40,48.5,0.76,0,0
1/13/2018,62,12,37,0.94,6,6
1/14/2018,12,4,8,0.06,0.9,6
1/15/2018,12,-9,1.5,0,0,6
1/16/2018,22,-9,6.5,0.05,0.5,6
1/17/2018,26,15,20.5,0.13,1.6,8
1/18/2018,20,-1,9.5,0,0,8
1/19/2018,22,-3,9.5,0,0,7
1/20/2018,37,8,22.5,0,0,6
1/21/2018,45,16,30.5,0,0,4
1/22/2018,42,19,30.5,0.02,0,3
1/23/2018,46,35,40.5,0.01,0,0
1/24/2018,50,24,37,0.1,0,0
1/25/2018,25,16,20.5,0.02,0.7,1
1/26/2018,24,13,18.5,0,0,0
1/27/2018,38,13,25.5,0,0,0
1/28/2018,51,30,40.5,0.02,0,0
1/29/2018,46,21,33.5,0,0,0
1/30/2018,37,19,28,0.05,0.5,1
1/31/2018,19,-2,8.5,0.06,0.8,1
02-01-2018,30,4,17,0,0.1,1
02-02-2018,45,13,29,0.1,1,1
02-03-2018,14,1,7.5,0,0,1
02-04-2018,29,11,20,0,0,1
02-05-2018,31,14,22.5,0.09,1,2
02-06-2018,21,7,14,0.03,0.6,2
02-07-2018,27,12,19.5,0.01,0.1,2
02-08-2018,25,15,20,0.37,4,6
02-09-2018,24,5,14.5,0.02,0.3,6
02-10-2018,35,8,21.5,0.07,1,5
02-11-2018,40,26,33,0.01,0,3
02-12-2018,45,26,35.5,0.08,0,1
2/13/2018,29,18,23.5,0,0.1,1
2/14/2018,33,17,25,0,0,0
2/15/2018,47,33,40,0,0,0
2/16/2018,61,40,50.5,0.33,0,0
2/17/2018,41,15,28,0,0,0
2/18/2018,32,15,23.5,0.05,1.1,1
2/19/2018,36,26,31,0,0,0
2/20/2018,47,33,40,0.14,0,0
2/21/2018,67,47,57,0,0,0
2/22/2018,69,30,49.5,0.03,0,0
2/23/2018,34,29,31.5,0.5,3.5,4
2/24/2018,42,33,37.5,0.02,0,0
2/25/2018,41,35,38,0.18,0,0
2/26/2018,47,35,41,0,0,0
2/27/2018,48,22,35,0,0,0
2/28/2018,55,23,39,0,0,0
03-01-2018,56,35,45.5,0,0,0
03-02-2018,38,28,33,0.86,3.5,4
03-03-2018,29,27,28,0.09,1.6,5
03-04-2018,30,26,28,0,0,4
03-05-2018,28,17,22.5,0,0,2
03-06-2018,28,22,25,0,0,1
03-07-2018,41,20,30.5,0.11,1.5,2
03-08-2018,34,27,30.5,0.06,0.9,3
03-09-2018,32,24,28,0.05,1,2
03-10-2018,35,24,29.5,0,0,0
03-11-2018,31,26,28.5,0,0,0
03-12-2018,32,15,23.5,0,0,0
3/13/2018,35,15,25,0.21,1.7,2
3/14/2018,31,23,27,0.21,4.2,6
3/15/2018,29,22,25.5,0.21,5.6,10
3/16/2018,37,22,29.5,0.06,0.9,8
3/17/2018,25,7,16,0.01,0,8
3/18/2018,37,6,21.5,0,0,6
3/19/2018,35,6,20.5,0,0,3
3/20/2018,30,3,16.5,0,0,2
3/21/2018,37,7,22,0,0,2
3/22/2018,36,22,29,0,0,1
3/23/2018,38,25,31.5,0,0,0
3/24/2018,36,25,30.5,0,0,0
3/25/2018,34,12,23,0,0,0
3/26/2018,43,17,30,0,0,0
3/27/2018,47,19,33,0,0,0
3/28/2018,41,33,37,0.43,0,0
3/29/2018,46,35,40.5,0.01,0,0
3/30/2018,54,38,46,0.88,0,0
3/31/2018,41,22,31.5,0.05,0,0
04-01-2018,52,22,37,0.02,0,0
04-02-2018,38,27,32.5,0,0,0
04-03-2018,46,27,36.5,0,0,0
04-04-2018,50,35,42.5,0.25,0,0
04-05-2018,53,23,38,0.19,0.1,0
04-06-2018,33,19,26,0,0.1,0
04-07-2018,45,24,34.5,0.07,0.8,1
04-08-2018,33,17,25,0,0,0
04-09-2018,30,18,24,0.01,0,0
04-10-2018,41,19,30,0.01,0.2,0
04-11-2018,39,23,31,0,0,0
04-12-2018,46,26,36,0,0,0
4/13/2018,60,29,44.5,0.06,0,0
4/14/2018,61,38,49.5,0.01,0,0
4/15/2018,40,31,35.5,0,0,0
4/16/2018,43,34,38.5,0.05,0,0
4/17/2018,50,32,41,0.71,0.1,0
4/18/2018,37,28,32.5,0.2,1.4,1
4/19/2018,40,31,35.5,0.05,0.6,1
4/20/2018,36,27,31.5,0.08,0.3,0
4/21/2018,41,23,32,0,0,0
4/22/2018,53,25,39,0,0,0
4/23/2018,59,26,42.5,0,0,0
4/24/2018,69,30,49.5,0,0,0
4/25/2018,68,47,57.5,0.07,0,0
4/26/2018,57,42,49.5,0.12,0,0
4/27/2018,56,35,45.5,0,0,0
4/28/2018,58,37,47.5,0.06,0,0
4/29/2018,59,33,46,0.04,0,0
4/30/2018,43,32,37.5,0.11,0,0
05-01-2018,59,29,44,0,0,0
05-02-2018,78,34,56,0,0,0
