record_id,value
1,-2.426398564
2,-1.707418092
3,-2.066837385
4,-1.81849562
5,-1.694319817
6,-1.673076843
7,-1.606891032
8,-1.459848443
9,-1.387892333
10,-1.463442603
11,-1.512696064
12,-1.45922616
13,-1.361575436
14,-1.226860313
15,-1.32461612
16,-1.341360254
17,-1.171702437
18,-1.291166287
19,-1.222937511
20,-1.16930368
21,-1.163931216
22,-1.165110346
23,-1.153394394
24,-1.159329303
25,-1.146753411
26,-1.136442037
27,-1.139689968
28,-1.1342614
29,-1.115673581
30,-1.119555153
31,-1.107963427
32,-1.111353894
33,-1.079921222
34,-1.098745314
35,-1.044775423
36,-1.039000314
37,-1.044069624
38,-1.036897646
39,-1.075788365
40,-1.030904304
41,-1.001716658
42,-0.999627683
43,-0.987974354
44,-0.981140711
45,-0.978292575
46,-0.954044182
47,-0.967334153
48,-0.968026346
49,-0.94678766
50,-0.952319174
51,-0.941843774
52,-0.946236959
53,-0.915663023
54,-0.919429922
55,-0.909852464
56,-0.912602994
57,-0.86769516
58,-0.892020344
59,-0.861126742
60,-0.85388835
61,-0.850173428
62,-0.842834593
63,-0.805033574
64,-0.827488381
65,-0.790737358
66,-0.804681433
67,-0.790170474
68,-0.785344178
69,-0.785544323
70,-0.787992197
71,-0.77725835
72,-0.783976485
73,-0.743239176
74,-0.771642172
75,-0.755890273
76,-0.760727114
77,-0.742635863
78,-0.740309318
79,-0.713597694
80,-0.725755136
81,-0.727720026
82,-0.70778824
83,-0.703668073
84,-0.707083128
85,-0.702605399
86,-0.702352209
87,-0.698770139
88,-0.686734911
89,-0.698877277
90,-0.693482702
91,-0.696045555
92,-0.681522875
93,-0.677333633
94,-0.668379989
95,-0.667944864
96,-0.666664414
97,-0.663935419
98,-0.662207337
99,-0.649684538
100,-0.652033964
101,-0.657670406
102,-0.647353387
103,-0.643152936
104,-0.643051649
105,-0.614282947
106,-0.618242799
107,-0.600631211
108,-0.615835287
109,-0.606369536
110,-0.592171907
111,-0.600573648
112,-0.588764457
113,-0.575001748
114,-0.575198542
115,-0.580495277
116,-0.568473135
117,-0.567331821
118,-0.571640348
119,-0.571456756
120,-0.551226903
121,-0.56246549
122,-0.546201438
123,-0.551431361
124,-0.543668317
125,-0.540016816
126,-0.541402299
127,-0.537691112
128,-0.532471668
129,-0.530898146
130,-0.526940674
131,-0.525549623
132,-0.525435212
133,-0.516662351
134,-0.525693877
135,-0.517390677
136,-0.511886091
137,-0.502558619
138,-0.503230105
139,-0.499716425
140,-0.511504194
141,-0.494554695
142,-0.496613399
143,-0.488069764
144,-0.491337424
145,-0.48224149
146,-0.484877839
147,-0.486229289
