date_time,Tdb,RH,SR_global,SR_direct,SR_diffuse,tot_e_pw(kw)
01/01/2017 00:00,18.7,83,0,0,0,712.2586238
01/01/2017 00:10,18.7,82,0,0,0,693.9771663
01/01/2017 00:20,18.7,83,0,0,0,703.2288732
01/01/2017 00:30,18.7,83,0,0,0,707.3759165
01/01/2017 00:40,18.7,83,0,0,0,707.8578155
01/01/2017 00:50,18.7,83,0,0,0,705.8904509
01/01/2017 01:00,18.7,82,0,0,0,709.5225155
01/01/2017 01:10,18.6,83,0,0,0,702.3402271
01/01/2017 01:20,18.6,82,0,0,0,701.0547307
01/01/2017 01:30,18.6,83,0,0,0,705.2133541
01/01/2017 01:40,18.6,83,0,0,0,706.3010739
01/01/2017 01:50,18.7,82,0,0,0,693.1975293
01/01/2017 02:00,18.6,83,0,0,0,699.3855365
01/01/2017 02:10,18.6,82,0,0,0,702.154154
01/01/2017 02:20,18.6,82,0,0,0,700.319745
01/01/2017 02:30,18.6,81,0,0,0,700.6625575
01/01/2017 02:40,18.5,81,0,0,0,701.6449955
01/01/2017 02:50,18.5,81,0,0,0,693.8007224
01/01/2017 03:00,18.5,81,0,0,0,695.4114981
01/01/2017 03:10,18.5,82,0,0,0,691.8679972
01/01/2017 03:20,18.5,81,0,0,0,694.8813998
01/01/2017 03:30,18.5,81,0,0,0,696.1191834
01/01/2017 03:40,18.5,80,0,0,0,693.901358
01/01/2017 03:50,18.5,81,0,0,0,690.0355346
01/01/2017 04:00,18.4,81,0,0,0,690.1661082
01/01/2017 04:10,18.4,81,0,0,0,691.2092411
01/01/2017 04:20,18.4,81,0,0,0,691.3348961
01/01/2017 04:30,18.4,81,0,0,0,700.0691092
01/01/2017 04:40,18.5,80,0,0,0,703.1420265
01/01/2017 04:50,18.4,81,0,0,0,705.7961558
01/01/2017 05:00,18.5,79,0,0,0,706.7688921
01/01/2017 05:10,18.5,79,0,0,0,704.6119902
01/01/2017 05:20,18.5,79,0,0,0,702.7745915
01/01/2017 05:30,18.5,79,0,0,0,704.5754149
01/01/2017 05:40,18.5,79,0,0,0,705.37709
01/01/2017 05:50,18.5,79,0,0,0,703.7566716
01/01/2017 06:00,18.5,79,0,0,0,703.4546565
01/01/2017 06:10,18.6,78,0,0,0,704.4262724
01/01/2017 06:20,18.6,78,0,0,0,708.7749588
01/01/2017 06:30,18.6,78,0,0,0,706.2241366
01/01/2017 06:40,18.6,79,0,0,0,708.3136526
01/01/2017 06:50,18.6,79,0,0,0,696.3789631
01/01/2017 07:00,18.6,80,1,1,0,711.9586588
01/01/2017 07:10,18.6,79,2,2,0,694.7633362
01/01/2017 07:20,18.6,78,7,7,0,700.5140164
01/01/2017 07:30,18.6,79,17,17,0,700.098059
01/01/2017 07:40,18.6,78,21,21,0,695.4033186
01/01/2017 07:50,18.6,77,28,28,0,703.0991832
01/01/2017 08:00,18.6,78,28,28,0,708.3749492
01/01/2017 08:10,18.7,78,30,30,0,705.9774088
01/01/2017 08:20,18.7,78,45,45,0,709.0117212
01/01/2017 08:30,18.8,78,54,54,0,710.043513
01/01/2017 08:40,18.8,77,54,54,0,717.2823413
01/01/2017 08:50,18.8,77,70,70,0,723.3098047
01/01/2017 09:00,18.8,77,79,79,0,728.3279176
01/01/2017 09:10,18.9,76,82,82,0,763.0392352
01/01/2017 09:20,18.9,77,77,77,0,757.9654895
01/01/2017 09:30,19,76,80,80,0,742.5979415
01/01/2017 09:40,19.1,75,112,112,0,731.8966419
01/01/2017 09:50,19.1,75,151,150,1,734.0443636
01/01/2017 10:00,19,76,173,172,1,737.8410388
01/01/2017 10:10,19,76,150,150,0,741.0046495
01/01/2017 10:20,19,76,217,216,1,738.0332085
01/01/2017 10:30,19.1,76,236,236,0,736.7874809
01/01/2017 10:40,19.2,76,194,194,0,735.6002636
01/01/2017 10:50,19.2,76,253,252,1,733.3881648
01/01/2017 11:00,19.1,76,164,164,0,730.2678142
01/01/2017 11:10,19.1,77,235,234,1,733.5514933
01/01/2017 11:20,19.1,76,924,656,268,744.2845398
01/01/2017 11:30,19.2,76,331,331,0,736.6820194
01/01/2017 11:40,19.2,76,890,599,291,732.8329024
01/01/2017 11:50,19.4,76,1383,734,649,731.0238392
01/01/2017 12:00,19.5,74,409,388,21,734.4807044
01/01/2017 12:10,19.7,74,1382,695,687,741.1177966
01/01/2017 12:20,20.1,72,1516,723,793,743.3611634
01/01/2017 12:30,20,72,1502,712,790,740.5902013
01/01/2017 12:40,20,73,1491,722,769,745.6926814
01/01/2017 12:50,20.1,72,1496,720,776,751.4042606
01/01/2017 13:00,20.2,72,1484,710,774,745.7447889
01/01/2017 13:10,20.4,71,1486,710,776,746.9829591
01/01/2017 13:20,20.4,71,1467,698,769,727.0804598
01/01/2017 13:30,20.4,71,1444,702,742,725.2052149
01/01/2017 13:40,20.3,73,1484,701,783,732.1503143
01/01/2017 13:50,20.2,72,1481,742,739,739.3147541
