,FIPS,County_2012,Total Votes_2012,Democrat_2012,Republican_2012,Total Votes_2016,Democrat_2016,Republican_2016,2012,2016,Swap
519,35057,"Torrance County, NM",6376,2414,3521,6324,1785,3714,-1107,-1929,0
520,35059,"Union County, NM",1753,471,1231,1702,320,1216,-760,-896,0
521,35061,"Valencia County, NM",27647,13473,12788,27592,10841,13215,685,-2374,1
522,6001,"Alameda County, CA",577270,454344,106324,659543,514842,95922,348020,418920,0
523,6003,"Alpine County, CA",647,389,236,602,334,217,153,117,0
524,6005,"Amador County, CA",15303,6001,8903,17963,6004,10485,-2902,-4481,0
525,6007,"Butte County, CA",70163,32567,35312,97002,41567,45144,-2745,-3577,0
526,6009,"Calaveras County, CA",18469,7404,10537,23531,7944,13511,-3133,-5567,0
527,6011,"Colusa County, CA",5865,2248,3521,6697,2661,3551,-1273,-890,0
528,6013,"Contra Costa County, CA",364315,239198,116867,473014,319287,115956,122331,203331,0
529,6015,"Del Norte County, CA",7940,3396,4256,9558,3485,5134,-860,-1649,0
530,6017,"El Dorado County, CA",85923,34033,49661,95149,36404,49247,-15628,-12843,0
531,6019,"Fresno County, CA",180244,85862,91143,287062,141341,124049,-5281,17292,0
532,6021,"Glenn County, CA",9142,3276,5608,9470,3065,5788,-2332,-2723,0
533,6023,"Humboldt County, CA",46269,27757,15653,60014,33200,18373,12104,14827,0
534,6025,"Imperial County, CA",27453,17464,9545,48091,32667,12704,7919,19963,0
535,6027,"Inyo County, CA",6501,2775,3541,8179,3155,4248,-766,-1093,0
536,6029,"Kern County, CA",203831,80257,119065,244163,98689,129584,-38808,-30895,0
537,6031,"Kings County, CA",30139,12282,17184,34310,13617,18093,-4902,-4476,0
538,6033,"Lake County, CA",16274,9159,6474,24675,11496,10599,2685,897,0
539,6035,"Lassen County, CA",10603,3044,7261,10699,2224,7574,-4217,-5350,0
540,6037,"Los Angeles County, CA",2596915,1781383,754974,3434308,2464364,769743,1026409,1694621,0
541,6039,"Madera County, CA",32372,12698,18990,43507,17029,23357,-6292,-6328,0
542,6041,"Marin County, CA",99286,73450,23347,140683,108707,21771,50103,86936,0
543,6043,"Mariposa County, CA",7805,3080,4434,8877,3122,5185,-1354,-2063,0
544,6045,"Mendocino County, CA",17928,11869,5129,37915,22079,10888,6740,11191,0
545,6047,"Merced County, CA",50538,26128,23403,70789,37317,28725,2725,8592,0
546,6049,"Modoc County, CA",3986,1113,2779,3843,877,2696,-1666,-1819,0
547,6051,"Mono County, CA",4917,2574,2202,5281,2773,2111,372,662,0
548,6053,"Monterey County, CA",78522,51712,25087,133408,89088,34895,26625,54193,0
549,6055,"Napa County, CA",32332,19964,11647,61372,39199,17411,8317,21788,0
550,6057,"Nevada County, CA",30864,14261,15696,54935,26053,23365,-1435,2688,0
551,6059,"Orange County, CA",1021315,457077,541592,1197521,609961,507148,-84515,102813,0
552,6061,"Placer County, CA",126325,49126,74460,186024,73509,95138,-25334,-21629,0
553,6063,"Plumas County, CA",9128,3670,5240,9850,3459,5420,-1570,-1961,0
554,6065,"Riverside County, CA",589721,287754,290227,751391,373695,333243,-2473,40452,0
555,6067,"Sacramento County, CA",439670,251365,177523,562285,326023,189789,73842,136234,0
556,6069,"San Benito County, CA",14972,8617,6052,22122,12521,7841,2565,4680,0
557,6071,"San Bernardino County, CA",531692,274203,245468,653983,340833,271240,28735,69593,0
558,6073,"San Diego County, CA",976087,502937,453166,1306400,735476,477766,49771,257710,0
559,6075,"San Francisco County, CA",337111,281226,44877,408541,345084,37688,236349,307396,0
560,6077,"San Joaquin County, CA",181088,98746,78794,227002,121124,88936,19952,32188,0
561,6079,"San Luis Obispo County, CA",117597,57655,56500,137202,67107,56164,1155,10943,0
562,6081,"San Mateo County, CA",211814,151036,56244,314384,237882,57929,94792,179953,0
563,6083,"Santa Barbara County, CA",147249,84279,59096,178878,107142,56365,25183,50777,0
564,6085,"Santa Clara County, CA",491687,343239,136347,703709,511684,144826,206892,366858,0
565,6087,"Santa Cruz County, CA",81294,61106,17132,130012,95249,22438,43974,72811,0
566,6089,"Shasta County, CA",71331,24199,45158,81024,22301,51778,-20959,-29477,0
567,6091,"Sierra County, CA",1779,652,1056,1858,601,1048,-404,-447,0
568,6093,"Siskiyou County, CA",17505,7110,9844,20493,7234,11341,-2734,-4107,0
569,6095,"Solano County, CA",138565,87225,48364,168150,102360,51920,38861,50440,0
570,6097,"Sonoma County, CA",175738,124504,45666,233303,160435,51408,78838,109027,0
571,6099,"Stanislaus County, CA",143620,70609,69549,174406,81647,78494,1060,3153,0
572,6101,"Sutter County, CA",20988,8004,12576,33824,13076,18176,-4572,-5100,0
573,6103,"Tehama County, CA",17356,6032,10791,23908,6809,15494,-4759,-8685,0
574,6105,"Trinity County, CA",5030,2367,2422,5784,2214,2812,-55,-598,0
575,6107,"Tulare County, CA",72832,29191,42186,114102,47585,58299,-12995,-10714,0
576,6109,"Tuolumne County, CA",23730,9628,13410,25893,9123,14551,-3782,-5428,0
577,6111,"Ventura County, CA",286142,148006,131782,356107,194402,132323,16224,62079,0
578,6113,"Yolo County, CA",59613,38856,19080,82090,54752,20739,19776,34013,0
579,6115,"Yuba County, CA",15009,5817,8746,22998,7910,13170,-2929,-5260,0
580,13001,"Appling County, GA",7079,1756,5231,7012,1434,5494,-3475,-4060,0
581,13003,"Atkinson County, GA",2902,930,1938,2610,697,1878,-1008,-1181,0
582,13005,"Bacon County, GA",3929,791,3092,4020,608,3364,-2301,-2756,0
583,13007,"Baker County, GA",1584,790,784,1440,650,775,6,-125,1
584,13009,"Baldwin County, GA",16214,8469,7585,16116,7970,7697,884,273,0
585,13011,"Banks County, GA",6191,779,5353,6975,684,6134,-4574,-5450,0
586,13013,"Barrow County, GA",25171,6019,18719,29061,6580,21108,-12700,-14528,0
587,13015,"Bartow County, GA",35738,8383,26847,39733,8212,29911,-18464,-21699,0
588,13017,"Ben Hill County, GA",5947,2508,3395,5936,2101,3739,-887,-1638,0
