,FIPS,County_2012,Total Votes_2012,Democrat_2012,Republican_2012,Total Votes_2016,Democrat_2016,Republican_2016,2012,2016,Swap
823,12107,"Putnam County, FL",31323,11666,19326,33301,10094,22138,-7660,-12044,0
824,12113,"Santa Rosa County, FL",76816,17757,58169,88684,18464,65339,-40412,-46875,0
825,12115,"Sarasota County, FL",207434,95089,110489,231353,97870,124438,-15400,-26568,0
826,12117,"Seminole County, FL",208605,96435,109939,227526,105914,109443,-13504,-3529,0
827,12109,"St. Johns County, FL",114733,35155,78490,137846,43099,88684,-43335,-45585,0
828,12111,"St. Lucie County, FL",123026,65869,56202,141993,66881,70289,9667,-3408,1
829,12119,"Sumter County, FL",60471,19519,40644,77238,22638,52730,-21125,-30092,0
830,12121,"Suwannee County, FL",17627,4749,12672,18787,3964,14287,-7923,-10323,0
831,12123,"Taylor County, FL",9117,2761,6249,9348,2152,6930,-3488,-4778,0
832,12125,"Union County, FL",5393,1339,3980,5722,1014,4568,-2641,-3554,0
833,12127,"Volusia County, FL",234483,114716,117473,263278,109091,143007,-2757,-33916,0
834,12129,"Wakulla County, FL",14656,5173,9288,15444,4348,10512,-4115,-6164,0
835,12131,"Walton County, FL",28480,6665,21483,33898,6876,25756,-14818,-18880,0
836,12133,"Washington County, FL",10998,2820,8037,11211,2264,8637,-5217,-6373,0
837,28001,"Adams County, MS",13621,7999,5542,13836,7757,5874,2457,1883,0
838,28003,"Alcorn County, MS",14682,3449,11027,14783,2684,11819,-7578,-9135,0
839,28005,"Amite County, MS",7661,3218,4393,7050,2697,4289,-1175,-1592,0
840,28007,"Attala County, MS",7853,3368,4452,8256,3242,4897,-1084,-1655,0
841,28009,"Benton County, MS",4080,2026,2030,4022,1719,2251,-4,-532,0
842,28011,"Bolivar County, MS",14258,9772,4346,13824,9046,4590,5426,4456,0
843,28013,"Calhoun County, MS",6273,2250,3961,6396,1910,4390,-1711,-2480,0
844,28015,"Carroll County, MS",5968,1990,3953,5528,1680,3799,-1963,-2119,0
845,28017,"Chickasaw County, MS",7641,3914,3601,7890,3649,4127,313,-478,1
846,28019,"Choctaw County, MS",3847,1283,2533,4065,1218,2788,-1250,-1570,0
847,28021,"Claiborne County, MS",5258,4633,608,4272,3708,540,4025,3168,0
848,28023,"Clarke County, MS",7199,2695,4415,7791,2585,5137,-1720,-2552,0
849,28025,"Clay County, MS",9659,5860,3735,10003,5722,4150,2125,1572,0
850,28027,"Coahoma County, MS",9563,7164,2356,8912,6378,2426,4808,3952,0
851,28029,"Copiah County, MS",13002,7201,5714,12982,6741,6103,1487,638,0
852,28031,"Covington County, MS",9145,3800,5282,8811,3276,5435,-1482,-2159,0
853,28033,"DeSoto County, MS",64026,20979,42399,66155,20591,43089,-21420,-22498,0
854,28035,"Forrest County, MS",27789,12079,15339,28064,11716,15461,-3260,-3745,0
855,28037,"Franklin County, MS",4443,1706,2705,4290,1502,2721,-999,-1219,0
856,28039,"George County, MS",9826,1352,8353,9891,1027,8696,-7001,-7669,0
857,28041,"Greene County, MS",5919,1325,4528,5369,974,4335,-3203,-3361,0
858,28043,"Grenada County, MS",11320,5279,5980,10513,4424,5970,-701,-1546,0
859,28045,"Hancock County, MS",17023,3879,12859,17637,3344,13811,-8980,-10467,0
860,28047,"Harrison County, MS",61602,22242,38646,63313,21169,40354,-16404,-19185,0
861,28049,"Hinds County, MS",97639,70512,26450,95077,67594,25275,44062,42319,0
862,28051,"Holmes County, MS",8076,6775,1264,8076,6689,1309,5511,5380,0
863,28053,"Humphreys County, MS",4481,3399,1069,4253,3071,1151,2330,1920,0
864,28055,"Issaquena County, MS",787,479,302,699,395,298,177,97,0
865,28057,"Itawamba County, MS",8729,1599,6925,9737,1117,8470,-5326,-7353,0
866,28059,"Jackson County, MS",49290,15452,33262,49567,14657,33629,-17810,-18972,0
867,28061,"Jasper County, MS",9340,5097,4193,8475,4368,4038,904,330,0
868,28065,"Jefferson Davis County, MS",6618,4094,2439,6237,3720,2466,1655,1254,0
869,28063,"Jefferson County, MS",3953,3508,431,3860,3337,490,3077,2847,0
870,28067,"Jones County, MS",30038,9146,20635,28352,7791,20133,-11489,-12342,0
871,28069,"Kemper County, MS",5052,3239,1789,4639,2827,1778,1450,1049,0
872,28071,"Lafayette County, MS",17191,7098,9772,19643,7969,10872,-2674,-2903,0
873,28073,"Lamar County, MS",22780,5037,17472,24592,5190,18751,-12435,-13561,0
874,28075,"Lauderdale County, MS",30213,12642,17322,29506,11269,17741,-4680,-6472,0
875,28077,"Lawrence County, MS",6584,2394,4153,6364,2195,4091,-1759,-1896,0
876,28079,"Leake County, MS",7921,3599,4283,8449,3584,4782,-684,-1198,0
877,28081,"Lee County, MS",34363,12043,22004,32913,10029,22220,-9961,-12191,0
878,28083,"Leflore County, MS",11600,8423,3115,11140,7787,3212,5308,4575,0
879,28085,"Lincoln County, MS",14303,4879,9333,15193,4458,10550,-4454,-6092,0
880,28087,"Lowndes County, MS",24674,12037,12399,25695,11819,13271,-362,-1452,0
881,28089,"Madison County, MS",49571,20722,28507,50131,20343,28265,-7785,-7922,0
882,28091,"Marion County, MS",11041,3833,7118,11693,3677,7836,-3285,-4159,0
883,28093,"Marshall County, MS",16141,9581,6444,14839,8023,6587,3137,1436,0
884,28095,"Monroe County, MS",16789,6990,9661,15884,5524,10167,-2671,-4643,0
885,28097,"Montgomery County, MS",4807,2245,2543,4996,2115,2818,-298,-703,0
886,28099,"Neshoba County, MS",10890,3030,7772,10553,2715,7679,-4742,-4964,0
887,28101,"Newton County, MS",9039,3069,5909,9438,2756,6548,-2840,-3792,0
888,28103,"Noxubee County, MS",6264,4920,1325,5574,4347,1200,3595,3147,0
889,28105,"Oktibbeha County, MS",16001,8030,7728,18124,8859,8576,302,283,0
890,28107,"Panola County, MS",16826,9079,7629,15064,7431,7449,1450,-18,1
891,28109,"Pearl River County, MS",19938,3813,15836,21883,3604,17782,-12023,-14178,0
892,28111,"Perry County, MS",5686,1519,4110,5432,1220,4135,-2591,-2915,0
893,28113,"Pike County, MS",17429,9304,7986,16360,8043,8009,1318,34,0
894,28115,"Pontotoc County, MS",12348,2785,9403,12984,2386,10336,-6618,-7950,0
895,28117,"Prentiss County, MS",10033,2817,7075,9872,2067,7648,-4258,-5581,0
896,28119,"Quitman County, MS",3979,2837,1116,3365,2312,1001,1721,1311,0
897,28121,"Rankin County, MS",61438,14425,46318,63110,14110,47178,-31893,-33068,0
898,28123,"Scott County, MS",10584,4774,5728,10522,4268,6122,-954,-1854,0
899,28125,"Sharkey County, MS",2258,1571,675,2190,1479,692,896,787,0
900,28127,"Simpson County, MS",12249,4723,7424,11419,3874,7393,-2701,-3519,0
901,28129,"Smith County, MS",8099,1979,6049,7627,1617,5928,-4070,-4311,0
902,28131,"Stone County, MS",6820,1794,4924,7045,1573,5306,-3130,-3733,0
903,28133,"Sunflower County, MS",10995,7989,2907,9598,6725,2794,5082,3931,0
904,28135,"Tallahatchie County, MS",6363,3838,2480,5870,3337,2462,1358,875,0
905,28137,"Tate County, MS",11374,4572,6666,11627,3926,7495,-2094,-3569,0
906,28139,"Tippah County, MS",9008,2254,6625,9260,1842,7240,-4371,-5398,0
907,28141,"Tishomingo County, MS",7850,1623,6070,8371,999,7166,-4447,-6167,0
908,28143,"Tunica County, MS",4262,3371,867,3567,2667,853,2504,1814,0
909,28145,"Union County, MS",10359,2481,7759,11496,2012,9235,-5278,-7223,0
910,28147,"Walthall County, MS",7476,3386,4012,6919,2790,4056,-626,-1266,0
911,28149,"Warren County, MS",19429,9899,9390,19416,9284,9767,509,-483,1
912,28151,"Washington County, MS",17137,12188,4870,16825,11380,5244,7318,6136,0
913,28153,"Wayne County, MS",10269,4116,6080,9599,3524,5990,-1964,-2466,0
914,28155,"Webster County, MS",4820,1087,3684,5069,1019,3976,-2597,-2957,0
915,28157,"Wilkinson County, MS",4238,2940,1275,4218,2857,1318,1665,1539,0
916,28159,"Winston County, MS",9758,4557,5147,8881,3850,4910,-590,-1060,0
917,28161,"Yalobusha County, MS",6293,2984,3261,6077,2582,3376,-277,-794,0
918,28163,"Yazoo County, MS",10853,6220,4560,10070,5369,4598,1660,771,0
919,40001,"Adair County, OK",6472,2110,4362,6513,1382,4787,-2252,-3405,0
920,40003,"Alfalfa County, OK",1817,278,1539,2258,216,1933,-1261,-1717,0
921,40005,"Atoka County, OK",4775,1241,3534,5018,795,4084,-2293,-3289,0
922,40007,"Beaver County, OK",2300,243,2057,2243,176,1993,-1814,-1817,0
923,40009,"Beckham County, OK",6909,1413,5496,7552,960,6308,-4083,-5348,0
924,40011,"Blaine County, OK",3815,991,2824,3793,711,2884,-1833,-2173,0
925,40013,"Bryan County, OK",12721,3533,9188,13818,2804,10478,-5655,-7674,0
926,40015,"Caddo County, OK",8811,3151,5660,9348,2420,6482,-2509,-4062,0
927,40017,"Canadian County, OK",46148,10533,35615,55278,11674,39986,-25082,-28312,0
928,40019,"Carter County, OK",17120,4907,12213,18534,4002,13752,-7306,-9750,0
929,40021,"Cherokee County, OK",14288,6137,8151,16490,5456,9994,-2014,-4538,0
930,40023,"Choctaw County, OK",5066,1494,3572,5426,1067,4206,-2078,-3139,0
931,40025,"Cimarron County, OK",1197,115,1082,1079,71,963,-967,-892,0
932,40027,"Cleveland County, OK",93720,34701,59019,109450,38829,62538,-24318,-23709,0
933,40029,"Coal County, OK",2357,648,1709,2399,411,1898,-1061,-1487,0
934,40031,"Comanche County, OK",30174,12517,17657,32564,11463,19183,-5140,-7720,0
935,40033,"Cotton County, OK",2453,657,1796,2602,424,2054,-1139,-1630,0
936,40035,"Craig County, OK",5298,1746,3552,5785,1252,4283,-1806,-3031,0
937,40037,"Creek County, OK",26078,7114,18964,28830,5841,21575,-11850,-15734,0
938,40039,"Custer County, OK",9800,2358,7442,10541,2104,7826,-5084,-5722,0
939,40041,"Delaware County, OK",14232,4176,10056,15716,3311,11826,-5880,-8515,0
940,40043,"Dewey County, OK",2070,301,1769,2248,222,1965,-1468,-1743,0
941,40045,"Ellis County, OK",1801,226,1575,1827,155,1611,-1349,-1456,0
942,40047,"Garfield County, OK",19908,4732,15176,21710,4397,16009,-10444,-11612,0
943,40049,"Garvin County, OK",9478,2556,6922,10546,1855,8253,-4366,-6398,0
944,40051,"Grady County, OK",19598,4780,14818,22286,3882,17316,-10038,-13434,0
945,40053,"Grant County, OK",2067,393,1674,2201,288,1827,-1281,-1539,0
946,40055,"Greer County, OK",1832,488,1344,1896,323,1482,-856,-1159,0
947,40057,"Harmon County, OK",923,264,659,977,225,715,-395,-490,0
948,40059,"Harper County, OK",1434,173,1261,1499,134,1318,-1088,-1184,0
949,40061,"Haskell County, OK",4244,1175,3069,4738,882,3701,-1894,-2819,0
950,40063,"Hughes County, OK",4206,1370,2836,4526,961,3388,-1466,-2427,0
951,40065,"Jackson County, OK",7915,1953,5962,7806,1473,5969,-4009,-4496,0
952,40067,"Jefferson County, OK",2234,602,1632,2350,365,1910,-1030,-1545,0
953,40069,"Johnston County, OK",3778,1134,2644,4018,786,3093,-1510,-2307,0
954,40071,"Kay County, OK",16122,4624,11498,16803,3738,12172,-6874,-8434,0
955,40073,"Kingfisher County, OK",5354,844,4510,6131,786,5156,-3666,-4370,0
956,40075,"Kiowa County, OK",3410,1101,2309,3493,767,2596,-1208,-1829,0
957,40077,"Latimer County, OK",3789,1169,2620,4056,797,3100,-1451,-2303,0
958,40079,"Le Flore County, OK",15830,4658,11172,17221,3250,13362,-6514,-10112,0
959,40081,"Lincoln County, OK",12807,3265,9542,14025,2430,10854,-6277,-8424,0
960,40083,"Logan County, OK",16983,4686,12297,18979,4248,13633,-7611,-9385,0
961,40085,"Love County, OK",3470,1034,2436,3789,735,2922,-1402,-2187,0
962,40093,"Major County, OK",3146,446,2700,3407,310,2948,-2254,-2638,0
963,40095,"Marshall County, OK",5140,1396,3744,5492,1096,4206,-2348,-3110,0
964,40097,"Mayes County, OK",14456,4822,9634,15717,3423,11555,-4812,-8132,0
965,40087,"McClain County, OK",14299,3191,11108,16858,2894,13169,-7917,-10275,0
966,40089,"McCurtain County, OK",10073,2440,7633,10726,1802,8656,-5193,-6854,0
967,40091,"McIntosh County, OK",7265,2767,4498,7963,2123,5505,-1731,-3382,0
968,40099,"Murray County, OK",5146,1540,3606,5528,1087,4175,-2066,-3088,0
969,40101,"Muskogee County, OK",23335,9943,13392,24216,7977,15043,-3449,-7066,0
970,40103,"Noble County, OK",4626,1142,3484,4878,901,3715,-2342,-2814,0
971,40105,"Nowata County, OK",4076,1244,2832,4237,742,3321,-1588,-2579,0
972,40107,"Okfuskee County, OK",3579,1251,2328,3943,943,2800,-1077,-1857,0
973,40109,"Oklahoma County, OK",256337,106812,149525,273942,112813,141569,-42713,-28756,0
974,40111,"Okmulgee County, OK",13128,5416,7712,13949,4385,8944,-2296,-4559,0
975,40113,"Osage County, OK",17913,6695,11218,18966,5597,12577,-4523,-6980,0
976,40115,"Ottawa County, OK",9973,3508,6465,10690,2584,7631,-2957,-5047,0
977,40117,"Pawnee County, OK",6041,1813,4228,6364,1344,4729,-2415,-3385,0
978,40119,"Payne County, OK",25660,9193,16467,27760,8788,16651,-7274,-7863,0
979,40121,"Pittsburg County, OK",15598,4813,10785,17271,3711,12753,-5972,-9042,0
980,40123,"Pontotoc County, OK",12855,3934,8921,14831,3637,10431,-4987,-6794,0
981,40125,"Pottawatomie County, OK",23422,7182,16240,25452,6015,17848,-9058,-11833,0
982,40127,"Pushmataha County, OK",4130,1043,3087,4483,748,3581,-2044,-2833,0
983,40129,"Roger Mills County, OK",1674,272,1402,1759,151,1547,-1130,-1396,0
984,40131,"Rogers County, OK",36677,9146,27531,40862,7902,30913,-18385,-23011,0
985,40133,"Seminole County, OK",7449,2597,4852,8037,2071,5613,-2255,-3542,0
986,40135,"Sequoyah County, OK",13766,4193,9573,14437,3061,10888,-5380,-7827,0
987,40137,"Stephens County, OK",16846,3939,12907,17904,3086,14182,-8968,-11096,0
988,40139,"Texas County, OK",5762,854,4908,5780,858,4621,-4054,-3763,0
989,40141,"Tillman County, OK",2719,906,1813,2706,657,1944,-907,-1287,0
990,40143,"Tulsa County, OK",227541,82633,144908,247054,87847,144258,-62275,-56411,0
991,40145,"Wagoner County, OK",28621,7773,20848,31300,6723,23005,-13075,-16282,0
992,40147,"Washington County, OK",21199,5532,15667,22224,5048,15825,-10135,-10777,0
993,40149,"Washita County, OK",4303,821,3482,4631,588,3854,-2661,-3266,0
994,40151,"Woods County, OK",3395,670,2725,3668,522,2947,-2055,-2425,0
995,40153,"Woodward County, OK",7065,1129,5936,7595,873,6347,-4807,-5474,0
996,1001,"Autauga County, AL",23909,6354,17366,24973,5936,18172,-11012,-12236,0
997,1003,"Baldwin County, AL",84988,18329,65772,95215,18458,72883,-47443,-54425,0
998,1005,"Barbour County, AL",11459,5873,5539,10469,4871,5454,334,-583,1
999,1007,"Bibb County, AL",8391,2200,6131,8819,1874,6738,-3931,-4864,0
1000,1009,"Blount County, AL",23980,2961,20741,25588,2156,22859,-17780,-20703,0
1001,1011,"Bullock County, AL",5318,4058,1250,4710,3530,1140,2808,2390,0
1002,1013,"Butler County, AL",9483,4367,5081,8732,3726,4901,-714,-1175,0
1003,1015,"Calhoun County, AL",46240,15500,30272,47864,13242,32865,-14772,-19623,0
1004,1017,"Chambers County, AL",14562,6853,7596,13900,5784,7843,-743,-2059,0
1005,1019,"Cherokee County, AL",9761,2126,7494,10733,1547,8953,-5368,-7406,0
1006,1021,"Chilton County, AL",17434,3391,13910,18369,2911,15081,-10519,-12170,0
1007,1023,"Choctaw County, AL",7965,3785,4150,7292,3109,4106,-365,-997,0
1008,1025,"Clarke County, AL",13827,6317,7463,13031,5749,7140,-1146,-1391,0
1009,1027,"Clay County, AL",6640,1770,4802,6624,1237,5245,-3032,-4008,0
1010,1029,"Cleburne County, AL",6302,971,5269,6593,684,5764,-4298,-5080,0
1011,1031,"Coffee County, AL",19715,4899,14638,20767,4221,15875,-9739,-11654,0
1012,1033,"Colbert County, AL",23374,9160,13931,24915,7312,16746,-4771,-9434,0
1013,1035,"Conecuh County, AL",7013,3551,3434,6585,3080,3420,117,-340,1
1014,1037,"Coosa County, AL",5243,2188,3028,5252,1782,3381,-840,-1599,0
1015,1039,"Covington County, AL",15415,3155,12148,15940,2387,13267,-8993,-10880,0
1016,1041,"Crenshaw County, AL",6411,2048,4326,6267,1664,4513,-2278,-2849,0
1017,1043,"Cullman County, AL",33178,4855,27930,37873,3798,32989,-23075,-29191,0
1018,1045,"Dale County, AL",18551,5283,13105,18749,4413,13808,-7822,-9395,0
1019,1047,"Dallas County, AL",20936,14599,6284,18792,12836,5789,8315,7047,0
1020,1049,"DeKalb County, AL",23842,5235,18316,25826,3622,21405,-13081,-17783,0
1021,1051,"Elmore County, AL",35440,8940,26223,37260,8443,27634,-17283,-19191,0
1022,1053,"Escambia County, AL",14832,5476,9263,14845,4605,9935,-3787,-5330,0
1023,1055,"Etowah County, AL",42490,12792,29102,44164,10442,32353,-16310,-21911,0
1024,1057,"Fayette County, AL",7912,1803,6034,8249,1362,6712,-4231,-5350,0
1025,1059,"Franklin County, AL",10859,3171,7567,12040,2197,9466,-4396,-7269,0
1026,1061,"Geneva County, AL",11318,2039,9173,11758,1525,9994,-7134,-8469,0
1027,1063,"Greene County, AL",5328,4514,799,4880,4013,838,3715,3175,0
1028,1065,"Hale County, AL",8628,5401,3205,8040,4775,3173,2196,1602,0
1029,1067,"Henry County, AL",8700,3046,5605,8072,2292,5632,-2559,-3340,0
1030,1069,"Houston County, AL",41843,12348,29214,42639,10664,30728,-16866,-20064,0
1031,1071,"Jackson County, AL",20555,5817,14422,20984,3673,16672,-8605,-12999,0
1032,1073,"Jefferson County, AL",303424,159658,141413,304191,156873,134768,18245,22105,0
1033,1075,"Lamar County, AL",7159,1643,5453,6966,1036,5823,-3810,-4787,0
1034,1077,"Lauderdale County, AL",36908,12504,23902,39525,9952,27899,-11398,-17947,0
1035,1079,"Lawrence County, AL",14079,5055,8855,14829,3627,10833,-3800,-7206,0
1036,1081,"Lee County, AL",54115,21274,32062,59191,21230,34617,-10788,-13387,0
1037,1083,"Limestone County, AL",35406,9809,25263,40294,9468,29067,-15454,-19599,0
1038,1085,"Lowndes County, AL",7519,5747,1754,6684,4883,1751,3993,3132,0
1039,1087,"Macon County, AL",10385,9045,1322,9140,7566,1431,7723,6135,0
1040,1089,"Madison County, AL",154632,61802,90679,163389,62822,89520,-28877,-26698,0
1041,1091,"Marengo County, AL",11509,6154,5321,10994,5615,5233,833,382,0
1042,1093,"Marion County, AL",12104,2249,9696,12984,1432,11274,-7447,-9842,0
1043,1095,"Marshall County, AL",32455,6271,25785,35316,4917,29233,-19514,-24316,0
1044,1097,"Mobile County, AL",174189,78417,94566,172737,72186,95116,-16149,-22930,0
1045,1099,"Monroe County, AL",10680,4897,5730,10271,4332,5795,-833,-1463,0
1046,1101,"Montgomery County, AL",101781,62993,38283,95878,58916,34003,24710,24913,0
1047,1103,"Morgan County, AL",49198,13401,35309,50644,11254,37486,-21908,-26232,0
1048,1105,"Perry County, AL",6065,4536,1504,5278,3824,1407,3032,2417,0
1049,1107,"Pickens County, AL",9599,4448,5119,9542,3972,5456,-671,-1484,0
1050,1109,"Pike County, AL",14057,6009,7939,13168,5056,7693,-1930,-2637,0
1051,1111,"Randolph County, AL",10391,3076,7219,10187,2291,7705,-4143,-5414,0
1052,1113,"Russell County, AL",18871,10495,8276,19256,9579,9210,2219,369,0
1053,1117,"Shelby County, AL",92204,19944,71243,101254,22977,73020,-51299,-50043,0
1054,1115,"St. Clair County, AL",35105,5790,29001,38400,5589,31651,-23211,-26062,0
1055,1119,"Sumter County, AL",7025,5420,1585,6411,4746,1581,3835,3165,0
1056,1121,"Talladega County, AL",33317,13878,19217,33407,12121,20614,-5339,-8493,0
1057,1123,"Tallapoosa County, AL",18668,6252,12303,19486,5519,13594,-6051,-8075,0
1058,1125,"Tuscaloosa County, AL",78495,32003,45703,82700,31762,47723,-13700,-15961,0
1059,1127,"Walker County, AL",28497,6551,21633,29472,4497,24266,-15082,-19769,0
1060,1129,"Washington County, AL",8761,2971,5749,8533,2374,6042,-2778,-3668,0
1061,1131,"Wilcox County, AL",6547,4867,1676,6123,4339,1742,3191,2597,0
1062,1133,"Winston County, AL",9712,1286,8310,10313,872,9228,-7024,-8356,0
1063,20001,"Allen County, KS",5221,1842,3261,5454,1433,3651,-1419,-2218,0
1064,20003,"Anderson County, KS",3274,937,2246,3350,672,2435,-1309,-1763,0
1065,20005,"Atchison County, KS",6499,2486,3836,6575,1989,4049,-1350,-2060,0
1066,20007,"Barber County, KS",2282,473,1753,2252,286,1850,-1280,-1564,0
1067,20009,"Barton County, KS",12010,2693,9132,10337,1839,7888,-6439,-6049,0
1068,20011,"Bourbon County, KS",6118,1951,4022,6093,1336,4424,-2071,-3088,0
1069,20013,"Brown County, KS",3865,1039,2738,4036,863,2906,-1699,-2043,0
1070,20015,"Butler County, KS",25452,7124,17764,27657,6573,19073,-10640,-12500,0
1071,20017,"Chase County, KS",1233,343,857,1369,316,969,-514,-653,0
1072,20019,"Chautauqua County, KS",1502,259,1201,1481,197,1236,-942,-1039,0
1073,20021,"Cherokee County, KS",8396,2868,5345,8620,2005,6182,-2477,-4177,0
1074,20023,"Cheyenne County, KS",1422,231,1157,1407,181,1173,-926,-992,0
1075,20025,"Clark County, KS",1000,171,791,1005,120,825,-620,-705,0
1076,20027,"Clay County, KS",3584,811,2715,3820,677,2891,-1904,-2214,0
1077,20029,"Cloud County, KS",3957,951,2886,3930,761,2919,-1935,-2158,0
1078,20031,"Coffey County, KS",3839,884,2860,4068,727,3050,-1976,-2323,0
1079,20033,"Comanche County, KS",915,141,756,867,102,715,-615,-613,0
1080,20035,"Cowley County, KS",12444,4219,7932,12621,3551,8270,-3713,-4719,0
1081,20037,"Crawford County, KS",14385,6545,7480,14891,5199,8624,-935,-3425,0
1082,20039,"Decatur County, KS",1533,266,1219,1452,178,1210,-953,-1032,0
1083,20041,"Dickinson County, KS",7854,1962,5709,8210,1609,6029,-3747,-4420,0
1084,20043,"Doniphan County, KS",3369,885,2397,3378,587,2606,-1512,-2019,0
1085,20045,"Douglas County, KS",46283,28012,17028,50087,31195,14688,10984,16507,0
1086,20047,"Edwards County, KS",1365,291,1048,1319,212,1037,-757,-825,0
1087,20049,"Elk County, KS",1356,277,1040,1259,160,1048,-763,-888,0
1088,20051,"Ellis County, KS",12779,3464,9057,11947,2742,8466,-5593,-5724,0
1089,20053,"Ellsworth County, KS",2677,696,1905,2679,521,1969,-1209,-1448,0
1090,20055,"Finney County, KS",7593,2307,5108,10159,3195,6350,-2801,-3155,0
1091,20057,"Ford County, KS",8082,2468,5459,7718,2149,5114,-2991,-2965,0
1092,20059,"Franklin County, KS",10806,3611,6893,10965,2892,7185,-3282,-4293,0
1093,20061,"Geary County, KS",7526,3158,4242,7504,2722,4274,-1084,-1552,0
1094,20063,"Gove County, KS",1368,174,1155,1343,149,1140,-981,-991,0
1095,20065,"Graham County, KS",1319,248,1044,1284,188,1025,-796,-837,0
1096,20067,"Grant County, KS",2215,437,1742,2389,441,1804,-1305,-1363,0
1097,20069,"Gray County, KS",1901,304,1568,2066,263,1698,-1264,-1435,0
1098,20071,"Greeley County, KS",665,112,539,650,83,534,-427,-451,0
1099,20073,"Greenwood County, KS",2706,653,1986,2840,485,2160,-1333,-1675,0
1100,20075,"Hamilton County, KS",857,159,678,876,121,705,-519,-584,0
1101,20077,"Harper County, KS",2335,536,1723,2578,393,1996,-1187,-1603,0
1102,20079,"Harvey County, KS",13805,5162,8352,14916,5068,8668,-3190,-3600,0
1103,20081,"Haskell County, KS",1355,202,1131,1354,245,1040,-929,-795,0
1104,20083,"Hodgeman County, KS",1050,178,857,1017,124,855,-679,-731,0
1105,20085,"Jackson County, KS",5474,1870,3476,5818,1512,3939,-1606,-2427,0
1106,20087,"Jefferson County, KS",7725,2883,4647,8337,2518,5213,-1764,-2695,0
1107,20089,"Jewell County, KS",1477,225,1220,1494,180,1223,-995,-1043,0
1108,20091,"Johnson County, KS",268145,107651,155442,294208,129852,137490,-47791,-7638,0
1109,20093,"Kearny County, KS",1341,261,1060,1316,174,1075,-799,-901,0
1110,20095,"Kingman County, KS",3199,731,2371,3334,599,2530,-1640,-1931,0
1111,20097,"Kiowa County, KS",1133,160,970,1079,114,900,-810,-786,0
1112,20099,"Labette County, KS",7907,3074,4668,8107,2291,5335,-1594,-3044,0
1113,20101,"Lane County, KS",917,170,732,871,106,718,-562,-612,0
1114,20103,"Leavenworth County, KS",28532,11072,16825,30639,10209,17638,-5753,-7429,0
1115,20105,"Lincoln County, KS",1459,284,1148,1464,215,1179,-864,-964,0
1116,20107,"Linn County, KS",4294,1108,3079,4454,736,3484,-1971,-2748,0
1117,20109,"Logan County, KS",1302,194,1084,1357,149,1132,-890,-983,0
1118,20111,"Lyon County, KS",11614,4972,6358,12472,4649,6552,-1386,-1903,0
1119,20115,"Marion County, KS",5368,1371,3865,5624,1204,4003,-2494,-2799,0
1120,20117,"Marshall County, KS",4679,1451,3123,4673,1072,3307,-1672,-2235,0
1121,20113,"McPherson County, KS",12060,3384,8399,12742,3226,8549,-5015,-5323,0
1122,20119,"Meade County, KS",1648,254,1394,1732,210,1415,-1140,-1205,0
1123,20121,"Miami County, KS",14642,4635,9726,15022,3991,10003,-5091,-6012,0
1124,20123,"Mitchell County, KS",2923,576,2293,2942,477,2308,-1717,-1831,0
1125,20125,"Montgomery County, KS",12093,3406,8417,12004,2637,8679,-5011,-6042,0
1126,20127,"Morris County, KS",2526,705,1750,2624,601,1820,-1045,-1219,0
1127,20129,"Morton County, KS",1247,180,1050,1192,147,995,-870,-848,0
1128,20131,"Nemaha County, KS",4959,988,3878,5122,725,4124,-2890,-3399,0
1129,20133,"Neosho County, KS",6359,2012,4193,6314,1501,4431,-2181,-2930,0
1130,20135,"Ness County, KS",1417,211,1190,1454,162,1228,-979,-1066,0
1131,20137,"Norton County, KS",2296,393,1855,2234,281,1840,-1462,-1559,0
1132,20139,"Osage County, KS",6771,2228,4336,7046,1753,4826,-2108,-3073,0
1133,20141,"Osborne County, KS",1802,320,1448,1788,233,1460,-1128,-1227,0
1134,20143,"Ottawa County, KS",2888,548,2260,2903,424,2283,-1712,-1859,0
1135,20145,"Pawnee County, KS",2565,704,1808,2661,579,1904,-1104,-1325,0
1136,20147,"Phillips County, KS",2537,376,2116,2664,300,2233,-1740,-1933,0
1137,20149,"Pottawatomie County, KS",9303,2291,6692,10693,2225,7612,-4401,-5387,0
1138,20151,"Pratt County, KS",3752,974,2730,3842,771,2838,-1756,-2067,0
1139,20153,"Rawlins County, KS",1420,184,1207,1472,163,1220,-1023,-1057,0
1140,20155,"Reno County, KS",23869,7888,15398,24536,6837,15513,-7510,-8676,0
1141,20157,"Republic County, KS",2640,470,2098,2529,375,2024,-1628,-1649,0
1142,20159,"Rice County, KS",3622,899,2631,3804,695,2837,-1732,-2142,0
1143,20161,"Riley County, KS",20266,8587,11157,21974,9341,10107,-2570,-766,0
1144,20163,"Rooks County, KS",2625,398,2159,2419,275,2031,-1761,-1756,0
1145,20165,"Rush County, KS",1549,361,1151,1503,233,1197,-790,-964,0
1146,20167,"Russell County, KS",3140,584,2505,3193,461,2574,-1921,-2113,0
1147,20169,"Saline County, KS",21102,6910,13697,22064,6317,13828,-6787,-7511,0
1148,20171,"Scott County, KS",2019,271,1702,2202,236,1865,-1431,-1629,0
1149,20173,"Sedgwick County, KS",177852,69373,104411,191798,69627,104353,-35038,-34726,0
1150,20175,"Seward County, KS",4955,1393,3495,5038,1628,3159,-2102,-1531,0
