supply chain papers ,
Year,No of Paper Published 
2021,169
2020,4974
2019,4943
2018,4269
2017,3620
2016,3347
2015,2983
2014,3448
2013,3112
2012,2686
2011,3431
2010,3919
2009,3281
2008,3114
2007,2449
2006,2109
2005,1869
2004,1555
2003,1250
2002,896
2001,658
2000,556
1999,304
1998,239
1997,159
1996,133
1995,83
1994,33
1993,27
1992,13
1991,14
1990,10
1989,4
1988,6
1987,6
1986,10
1985,4
1984,4
1983,6
1982,7
1981,1
1980,3
1979,6
1978,3
1977,1
1976,1
1975,1
1974,1
1972,2
1971,1
1969,1
