Date,Open,High,Low,Close,Adj Close,Volume
2015-01-02,95.527626,96.147316,94.478920,95.556229,83.158989,2232817
2015-01-05,95.241615,95.241615,93.430214,93.735291,81.574303,3310049
2015-01-06,93.716225,94.850731,92.982132,93.516014,81.383476,4438363
2015-01-07,94.450317,95.193947,93.897362,94.192909,81.972557,2738078
2015-01-08,94.993736,96.099648,94.993736,95.908974,83.465965,2686367
2015-01-09,95.994774,96.080582,94.211975,94.316849,82.080391,2781293
2015-01-12,94.574257,94.736328,92.705650,93.859230,81.682167,2894785
2015-01-13,94.517052,95.556229,93.430214,94.526588,82.262932,3590213
2015-01-14,93.125137,94.345451,93.125137,94.088036,81.881279,3250891
2015-01-15,94.631462,94.755394,92.572182,92.581718,80.570374,3665735
2015-01-16,92.352905,93.735291,92.000160,93.639954,81.491341,5066031
2015-01-20,94.650528,95.098610,93.373009,94.364517,82.121887,3987960
2015-01-21,93.887833,94.869804,93.573219,94.621925,82.345901,2627837
2015-01-22,95.098610,95.289284,93.554153,94.755394,82.462051,4643006
2015-01-23,96.290321,99.074158,95.813637,97.720375,85.042358,6170115
2015-01-26,97.644104,97.710846,96.538200,97.138824,84.536270,3461302
2015-01-27,96.128250,97.053017,95.308350,96.194984,83.714874,2639270
2015-01-28,96.795609,97.720375,95.108147,95.165344,82.818825,3999603
2015-01-29,94.907936,95.632500,93.487419,95.499023,83.109207,4751987
2015-01-30,94.631462,95.098610,92.991661,93.201408,81.109673,4299172
2015-02-02,93.973633,95.213013,92.419640,95.117676,82.777328,3736956
2015-02-03,95.336952,96.585869,95.298820,96.547729,84.021851,2899505
2015-02-04,96.185448,96.767006,95.727837,96.051979,83.590431,2585042
2015-02-05,96.290321,97.720375,96.128250,97.567841,84.909615,2680493
2015-02-06,97.482033,98.063591,96.709808,97.005348,84.420097,2522317
2015-02-09,96.719337,97.224625,96.414261,96.852814,84.287369,2363721
2015-02-10,97.243690,97.853851,96.738403,97.663177,84.992584,1785876
2015-02-11,97.424835,98.015923,97.119751,97.653641,84.984299,2018735
2015-02-12,97.872917,98.873955,97.863380,98.673744,85.872047,2037090
2015-02-13,98.435402,99.579445,98.435402,99.512711,86.602173,2066565
2015-02-17,99.217163,99.550842,98.826286,99.150429,86.286880,2410818
2015-02-18,99.369705,100.056129,99.207634,99.741524,86.801292,2377882
2015-02-19,99.407837,100.094269,99.169495,99.817787,86.867645,2057649
2015-02-20,99.712921,100.475616,98.750015,100.447014,87.415276,3539761
2015-02-23,100.389809,100.389809,99.255302,99.512711,86.602173,3226241
2015-02-24,98.988358,99.665253,98.750015,99.436440,86.967384,2467249
2015-02-25,99.245766,99.932198,99.217163,99.522247,87.042412,2248131
2015-02-26,99.341103,99.493645,98.607010,98.807220,86.417061,1997861
2015-02-27,98.530739,99.026489,97.939651,97.987320,85.699982,3141594
2015-03-02,97.987320,99.751053,97.748978,99.703384,87.200851,3346446
2015-03-03,99.036026,99.531776,98.769081,99.188568,86.750595,2606754
2015-03-04,99.493645,99.493645,97.644104,98.244728,85.925117,2628886
2015-03-05,98.883484,98.997894,98.206596,98.320999,85.991814,2352603
2015-03-06,97.539238,97.977783,96.862343,97.119751,84.941208,2587979
2015-03-09,97.386696,98.673744,97.243690,98.330536,86.000153,2604342
2015-03-10,97.377167,97.625038,96.452393,96.452393,84.357513,3150195
2015-03-11,96.547729,96.738403,95.889908,95.956642,83.923950,2589657
2015-03-12,96.280785,97.787109,96.280785,97.682243,85.433159,2732099
2015-03-13,97.596436,97.672707,95.622963,96.452393,84.357513,2717205
2015-03-16,96.767006,98.054054,96.662132,97.987320,85.699982,2345890
2015-03-17,97.272293,97.729912,97.091148,97.443901,85.224693,1940381
2015-03-18,97.224625,99.398308,96.471458,98.997894,86.583824,3103519
